City,Colors Reported,Shape Reported,State,Time,sighting,Year
Benton,GREEN,CIRCLE,AR,2010-01-01 00:00:00,1,2010
Bonita,RED,LIGHT,CA,2010-01-01 00:00:00,1,2010
El Cajon,RED,TRIANGLE,CA,2010-01-01 00:00:00,1,2010
El Cajon,RED,TRIANGLE,CA,2010-01-01 00:00:00,1,2010
Fresno,,LIGHT,CA,2010-01-01 00:00:00,1,2010
Grants Pass,RED,TRIANGLE,OR,2010-01-01 00:00:00,1,2010
Kirksville,,DISK,MO,2010-01-01 00:00:00,1,2010
La Mesa,RED,LIGHT,CA,2010-01-01 00:00:00,1,2010
Lemon Grove,RED,LIGHT,CA,2010-01-01 00:00:00,1,2010
Maricopa,,,AZ,2010-01-01 00:00:00,1,2010
Park City,,LIGHT,KY,2010-01-01 00:00:00,1,2010
St. Louis,,FIREBALL,MO,2010-01-01 00:00:00,1,2010
El Cajon,RED,FORMATION,CA,2010-01-01 00:01:00,1,2010
Spring Valley,RED,LIGHT,CA,2010-01-01 00:01:00,1,2010
Willow,RED ORANGE,FORMATION,AK,2010-01-01 00:01:00,1,2010
Antioch,,OTHER,CA,2010-01-01 00:03:00,1,2010
El Cajon,RED,LIGHT,CA,2010-01-01 00:03:00,1,2010
Naples,,SPHERE,FL,2010-01-01 00:04:00,1,2010
La Mesa,RED,TRIANGLE,CA,2010-01-01 00:10:00,1,2010
Mount Helix Park,RED,CIRCLE,CA,2010-01-01 00:10:00,1,2010
Anchorage,,LIGHT,AK,2010-01-01 00:20:00,1,2010
National City,RED,FORMATION,CA,2010-01-01 00:20:00,1,2010
Boca Raton,,FIREBALL,FL,2010-01-01 00:24:00,1,2010
Falcon,RED,DISK,CO,2010-01-01 00:24:00,1,2010
Crestview,,,FL,2010-01-01 00:25:00,1,2010
Aspen,,CHEVRON,CO,2010-01-01 00:30:00,1,2010
Walworth,RED,SPHERE,WI,2010-01-01 00:40:00,1,2010
Baker,ORANGE,,FL,2010-01-01 00:45:00,1,2010
San Diego,,SPHERE,CA,2010-01-01 01:00:00,1,2010
Van Alstyne,,,TX,2010-01-01 03:00:00,1,2010
Willow,RED,SPHERE,AK,2010-01-01 12:01:00,1,2010
San Diego,,TRIANGLE,CA,2010-01-01 12:02:00,1,2010
Haverhill,,TRIANGLE,MA,2010-01-01 13:00:00,1,2010
Pasadena,,TRIANGLE,CA,2010-01-01 17:20:00,1,2010
Albuquerque,,LIGHT,NM,2010-01-01 18:00:00,1,2010
Jasper,,SPHERE,FL,2010-01-01 18:30:00,1,2010
Bakersfield,,LIGHT,CA,2010-01-01 19:00:00,1,2010
Adairsville,RED,RECTANGLE,GA,2010-01-01 22:00:00,1,2010
Loon Mountain Ski Club,RED,CIRCLE,NH,2010-01-01 22:00:00,1,2010
Orange,ORANGE,LIGHT,CA,2010-01-02 12:20:00,1,2010
Phoenix,,RECTANGLE,AZ,2010-01-02 13:00:00,1,2010
Sacramento,,TRIANGLE,CA,2010-01-02 18:00:00,1,2010
Middleburg,RED,SPHERE,FL,2010-01-02 18:45:00,1,2010
Waxhaw,,SPHERE,NC,2010-01-02 20:12:00,1,2010
Madison,RED ORANGE,TRIANGLE,AL,2010-01-02 21:10:00,1,2010
Loveland,,CROSS,CO,2010-01-02 23:17:00,1,2010
Atlanta,RED,FIREBALL,GA,2010-01-02 23:47:00,1,2010
Riverside,,DISK,TX,2010-01-03 03:45:00,1,2010
Mason,,CIRCLE,OH,2010-01-03 04:00:00,1,2010
Fort Leonard Wood,,TRIANGLE,MO,2010-01-03 05:20:00,1,2010
Glen Spey,,FLASH,NY,2010-01-04 02:40:00,1,2010
Reedville,,VARIOUS,VA,2010-01-04 05:28:00,1,2010
Cleveland,,TRIANGLE,OH,2010-01-04 12:45:00,1,2010
Whittier,,LIGHT,CA,2010-01-04 17:40:00,1,2010
Ben Wheeler,,LIGHT,TX,2010-01-04 19:00:00,1,2010
San Pablo,RED,,CA,2010-01-04 19:00:00,1,2010
Cedar Rapids,,LIGHT,IA,2010-01-04 19:10:00,1,2010
El Cajon,,LIGHT,CA,2010-01-04 22:00:00,1,2010
Princeton,,DISK,IN,2010-01-05 01:00:00,1,2010
Chula Vista,,OVAL,CA,2010-01-05 02:11:00,1,2010
Colonia,,,NJ,2010-01-05 04:00:00,1,2010
Twenty Nine Palms,,,CA,2010-01-05 06:00:00,1,2010
Clinton,,CIGAR,NJ,2010-01-05 16:00:00,1,2010
New Paltz,,TRIANGLE,NY,2010-01-05 17:43:00,1,2010
Rockwell,,CIGAR,NC,2010-01-05 18:15:00,1,2010
Valley View Hot Springs near crestoneCO.,,LIGHT,CO,2010-01-05 19:00:00,1,2010
Anderson,,LIGHT,SC,2010-01-05 20:10:00,1,2010
San Diego,ORANGE,LIGHT,CA,2010-01-06 01:00:00,1,2010
Pacific Palisades,,TEARDROP,CA,2010-01-06 20:00:00,1,2010
Ringgold,,RECTANGLE,GA,2010-01-06 20:50:00,1,2010
Searcy,,DISK,AR,2010-01-06 21:15:00,1,2010
West Haven,GREEN,FIREBALL,CT,2010-01-07 00:00:00,1,2010
Southampton,,FORMATION,NY,2010-01-07 05:15:00,1,2010
Mansfield,,LIGHT,MA,2010-01-07 06:15:00,1,2010
Edgartown,,CIRCLE,MA,2010-01-07 17:30:00,1,2010
Windham,,LIGHT,NH,2010-01-07 17:45:00,1,2010
West Boylston,,LIGHT,MA,2010-01-07 19:34:00,1,2010
Westbrook,,TRIANGLE,CT,2010-01-07 23:45:00,1,2010
Fort Worth,,CHEVRON,TX,2010-01-08 19:00:00,1,2010
Tomball,,,TX,2010-01-08 19:00:00,1,2010
Kapolei,,LIGHT,HI,2010-01-08 21:35:00,1,2010
Port Saint Lucie,GREEN BLUE,FIREBALL,FL,2010-01-08 21:52:00,1,2010
Boulder,,TRIANGLE,CO,2010-01-08 23:00:00,1,2010
Brick,,OTHER,NJ,2010-01-09 03:00:00,1,2010
Cleveland,,OTHER,TN,2010-01-09 12:00:00,1,2010
Francis Creek,,LIGHT,WI,2010-01-09 18:00:00,1,2010
Woodbridge,,LIGHT,NJ,2010-01-09 18:05:00,1,2010
Seattle,,CYLINDER,WA,2010-01-09 19:00:00,1,2010
Freedom,,TRIANGLE,CA,2010-01-09 20:00:00,1,2010
Santa Fe Springs,,SPHERE,CA,2010-01-09 20:00:00,1,2010
Saline,RED GREEN BLUE,FORMATION,MI,2010-01-09 20:45:00,1,2010
Buffalo,,LIGHT,NY,2010-01-09 21:30:00,1,2010
Kapolei,,LIGHT,HI,2010-01-09 21:35:00,1,2010
Cincinnati,,LIGHT,OH,2010-01-09 22:00:00,1,2010
Paducah,,,KY,2010-01-09 23:55:00,1,2010
Taunton,,,MA,2010-01-10 00:00:00,1,2010
Uxbridge,,SPHERE,MA,2010-01-10 00:30:00,1,2010
Round Rock,,LIGHT,TX,2010-01-10 05:45:00,1,2010
San Jacinto,,,CA,2010-01-10 09:43:00,1,2010
Norton,,TRIANGLE,MA,2010-01-10 10:30:00,1,2010
Hancock,,SPHERE,MD,2010-01-10 11:30:00,1,2010
Cary,,VARIOUS,NC,2010-01-10 14:00:00,1,2010
Tularosa,,OTHER,NM,2010-01-10 18:45:00,1,2010
Eunice,,OVAL,LA,2010-01-10 19:00:00,1,2010
Butler,RED YELLOW,CHEVRON,MO,2010-01-10 20:00:00,1,2010
Lompoc,ORANGE,FIREBALL,CA,2010-01-10 20:00:00,1,2010
Pratt,,CIRCLE,KS,2010-01-10 20:55:00,1,2010
Lakeland,BLUE,OTHER,FL,2010-01-11 01:30:00,1,2010
Fort Myers,,FIREBALL,FL,2010-01-11 01:40:00,1,2010
Fairfield,,OVAL,CA,2010-01-11 17:00:00,1,2010
Joplin,ORANGE,TRIANGLE,MO,2010-01-11 21:30:00,1,2010
Leatherwood,RED,OTHER,KY,2010-01-11 23:00:00,1,2010
Fayetteville,,SPHERE,WV,2010-01-12 00:00:00,1,2010
Eugene,,,OR,2010-01-12 04:00:00,1,2010
Springfield,,VARIOUS,OR,2010-01-12 17:35:00,1,2010
Alma,,OTHER,AR,2010-01-12 19:00:00,1,2010
Wichita,ORANGE,,KS,2010-01-12 19:00:00,1,2010
Wichita,,TEARDROP,KS,2010-01-12 19:00:00,1,2010
Deep Run,,OTHER,NC,2010-01-12 19:20:00,1,2010
Waukesha,,DISK,WI,2010-01-12 19:32:00,1,2010
Metlakatla,RED,DISK,AK,2010-01-12 21:30:00,1,2010
Ceres,,FIREBALL,CA,2010-01-12 22:45:00,1,2010
White Oak,,TRIANGLE,PA,2010-01-13 00:45:00,1,2010
Ackerman,,LIGHT,MS,2010-01-13 01:00:00,1,2010
Clarksburg,,,WV,2010-01-13 17:00:00,1,2010
Gulf Breeze,ORANGE,,FL,2010-01-13 17:40:00,1,2010
Denver,,DISK,CO,2010-01-13 18:00:00,1,2010
Troutdale,,LIGHT,VA,2010-01-13 18:15:00,1,2010
Gregory,,LIGHT,MI,2010-01-13 19:45:00,1,2010
Modesto,,OTHER,CA,2010-01-13 23:25:00,1,2010
McGregor range,,CIRCLE,NM,2010-01-14 01:00:00,1,2010
Reno,,FLASH,NV,2010-01-14 01:40:00,1,2010
Pomoma,,LIGHT,NY,2010-01-14 04:30:00,1,2010
Lexington,,FIREBALL,KY,2010-01-14 12:09:00,1,2010
Holiday Island,,TRIANGLE,AR,2010-01-14 19:30:00,1,2010
Carlsbad,RED BLUE,LIGHT,CA,2010-01-15 00:18:00,1,2010
Bakersfield,,CIRCLE,CA,2010-01-15 01:00:00,1,2010
Fresno,,LIGHT,CA,2010-01-15 01:00:00,1,2010
North San Juan,ORANGE,FIREBALL,CA,2010-01-15 01:00:00,1,2010
Greensboro,,LIGHT,NC,2010-01-15 04:00:00,1,2010
Greensboro,,SPHERE,NC,2010-01-15 10:00:00,1,2010
Long Beach,,,CA,2010-01-15 16:55:00,1,2010
Tempe,,CIRCLE,AZ,2010-01-15 19:30:00,1,2010
Whittier,,DISK,CA,2010-01-15 19:30:00,1,2010
Flat Creek,,TRIANGLE,NC,2010-01-15 22:10:00,1,2010
Yuma,,LIGHT,AZ,2010-01-15 23:35:00,1,2010
Plainville,,RECTANGLE,CT,2010-01-15 23:40:00,1,2010
Great Falls,,TRIANGLE,MT,2010-01-16 19:20:00,1,2010
Boise,,VARIOUS,ID,2010-01-16 19:30:00,1,2010
Corona,,TRIANGLE,CA,2010-01-16 19:49:00,1,2010
Corona,,,CA,2010-01-16 20:00:00,1,2010
Bellingham,,LIGHT,MA,2010-01-16 20:40:00,1,2010
Grass Valley,,,CA,2010-01-16 20:50:00,1,2010
Henderson,,CHEVRON,NV,2010-01-16 21:20:00,1,2010
Granite Falls,,LIGHT,WA,2010-01-17 04:23:00,1,2010
Bayfield,,LIGHT,WI,2010-01-17 18:30:00,1,2010
Las Vegas,,OTHER,NV,2010-01-17 22:30:00,1,2010
Miami,,RECTANGLE,FL,2010-01-17 23:30:00,1,2010
Shawano,BLUE,LIGHT,WI,2010-01-17 23:51:00,1,2010
Pittsburgh,,LIGHT,PA,2010-01-18 01:35:00,1,2010
Lamar,,CIGAR,SC,2010-01-18 07:38:00,1,2010
Old Hickory,,VARIOUS,TN,2010-01-18 10:00:00,1,2010
Oldwick,,TRIANGLE,NJ,2010-01-18 15:00:00,1,2010
Sayre,,,PA,2010-01-18 17:35:00,1,2010
Mullica Hill,,OTHER,NJ,2010-01-18 17:50:00,1,2010
Dillon,,OVAL,MT,2010-01-18 19:03:00,1,2010
Whitehall,,SPHERE,MT,2010-01-18 19:15:00,1,2010
Seattle,ORANGE,LIGHT,WA,2010-01-18 20:15:00,1,2010
Arroyo Grande,,LIGHT,CA,2010-01-18 20:55:00,1,2010
Elmwood Park,,FLASH,IL,2010-01-19 00:01:00,1,2010
Azusa,,LIGHT,CA,2010-01-19 21:05:00,1,2010
Amherst,,,VA,2010-01-19 23:00:00,1,2010
Pt. Mugu,,LIGHT,CA,2010-01-20 02:00:00,1,2010
Gowanda,,FIREBALL,NY,2010-01-20 03:34:00,1,2010
Walnut,BLUE,FLASH,IA,2010-01-20 07:45:00,1,2010
San Jose,,DISK,CA,2010-01-20 12:00:00,1,2010
North Stonington,,LIGHT,CT,2010-01-20 18:00:00,1,2010
Bandon,,OTHER,OR,2010-01-20 18:45:00,1,2010
South Kingstown,,CHEVRON,RI,2010-01-20 18:45:00,1,2010
Poughkeepsie,,DISK,NY,2010-01-20 19:00:00,1,2010
((HOAX??)),,CIRCLE,PA,2010-01-20 19:30:00,1,2010
Batesville,,DIAMOND,AR,2010-01-20 20:00:00,1,2010
New Port Richey,ORANGE,FIREBALL,FL,2010-01-20 20:00:00,1,2010
Saint Charles,,OTHER,IA,2010-01-21 05:30:00,1,2010
Rochester,,CIRCLE,NY,2010-01-21 18:05:00,1,2010
